주식명,주가,보유수량,연간하락확률,연간성장률,총자산
아이비젼웍스,235.72503847723212,62,0.49484459640223927,0.48001363345649356,95838.59263733061
CURE,311.9073870121921,67,0.12515258977216448,0.145981091499157,403727.5587504316
KIB플러그에너지,366.7676078299878,80,0.22212622139684463,0.15758908872385713,261763.7157773692
압타머사이언스,240.16902872643695,76,0.30593399961096807,0.4160548437848152,958738.5966276083
아이비젼웍스,497.7931529808536,14,0.16126506244583894,0.13091583943473023,208814.6405955059
KIB플러그에너지,325.51007937185636,98,0.19210845252304015,0.17882317413301135,702893.7406194893
KIB플러그에너지,429.7846236371755,95,0.3603794968160246,0.44215102619001995,923117.389899095
상보,390.05408916431645,39,0.36151255163535045,0.2588762454590999,672721.0275302049
압타머사이언스,441.12212548117907,5,0.40180924401281687,0.15019312673867707,75730.33170743336
삼보산업,169.52038181542719,76,0.29685087028274,0.20466433004247114,926861.3914041528
디알텍,189.02148389106839,26,0.11676192849844796,0.35595586454047734,156612.53262760633
SH에너지화학,294.9644711561161,81,0.16655468530974832,0.0793320300178979,207780.3978921409
소니드,440.9314705941769,53,0.4503533671209984,0.481080073931353,731527.5973415417
디알텍,179.0426325563435,63,0.3668641951612624,0.24646006531771075,497732.32411973254
드래곤플라이,488.42633284291935,11,0.04401418857390338,0.3824608132942688,780233.511523066
SH에너지화학,151.04092332605657,33,0.37680823293788346,0.35098316050782785,172797.71531739595
SH에너지화학,170.0311780722032,41,0.16532881426945872,0.3403692973260452,858093.3647294344
AAPL,166.89351334643015,40,0.01161349239339382,0.2100244173737828,311139.1748136585
한일단조,334.40238121384783,46,0.24186591182631284,0.02117354827640089,526133.2281499351
SCHD,467.01643263865435,4,0.4416981004929377,0.3707234865586026,122412.27865927691
CURE,202.04455486657534,96,0.22217469772491527,0.47688860662402127,357561.7720457006
CURE,321.21474138342455,95,0.49440009731890366,0.2525142041810849,366823.3269756273
SH에너지화학,170.3090040189843,11,0.08903824837964303,0.47691589944536583,967184.605626023
삼보산업,352.45475848311946,81,0.17544869924206202,0.2674503473836061,832708.6715166006
셀루메드,149.29853447180471,27,0.008309405445660112,0.08368471106889414,67217.73251632857
아이비젼웍스,296.52430700507915,8,0.025176950764307593,0.11973262891707043,292794.22431793314
인스코비,362.072725470747,21,0.17715845844917621,0.4323590353587624,214657.27669261058
아이비젼웍스,331.6511667022041,97,0.2641940702089955,0.3107644086792192,325713.58068165515
NVDA,156.000193080297,5,0.11854705164750606,0.2071965651114956,22984.055338323284
상보,164.54934860593173,62,0.08323018985854541,0.39969327818381156,784287.1990760013
CONY,368.55640192999533,32,0.21033675183276318,0.3208545344476922,147002.240297017
NVDA,423.56371843591046,89,0.0853378007833957,0.43614260456373916,210698.665718626
인스코비,463.2297610118364,58,0.3154483241846021,0.48547148270318413,659519.7666049838
디알텍,425.4446061384468,72,0.477644522639095,0.3256186216217122,634129.5541967963
CURE,489.5695515548779,27,0.4032717051499739,0.48536105920546907,827885.3681030871
아이비젼웍스,263.3007216660542,26,0.10760689174782112,0.23519262515503014,145714.322232731
SH에너지화학,232.46630168881373,40,0.47556765467414885,0.419992757639288,227880.14900459777
압타머사이언스,111.27362093804676,29,0.3755638675300072,0.4532224208634259,877454.8107680769
CURE,279.95834239523737,73,0.07748601902377755,0.022585942563252692,669474.0541729234
삼보산업,360.548620965293,82,0.289715340323451,0.43254587799889266,88158.82303470357
CONY,426.16345652899025,7,0.4832393221963198,0.2043445830914249,103045.39968233964
AAPL,206.98215310974814,21,0.04837905965707551,0.1991144900372248,538073.415233456
상보,305.4365105477162,80,0.13550248739834087,0.39080471083807944,753142.622221455
NVDA,364.80382584561863,67,0.187045871977374,0.12316668555619187,646918.2716338141
압타머사이언스,320.64114639363754,96,0.05779713659195895,0.015764835956426027,681193.9975418441
상보,209.60828696096308,10,0.14962299332760143,0.13557803966404197,576270.4243129237
디알텍,418.5129753180249,62,0.3461626082583697,0.3242201993338157,882543.9858421702
소니드,169.34440498877348,96,0.23861939391678705,0.47671446251847255,897945.86003743
한일단조,461.9919335145456,8,0.2105370569883082,0.19786099488746484,609518.6551168389
상보,481.03869962192454,96,0.21596962942357534,0.3987707940094085,733976.0600000513
NVDA,246.22930483010484,4,0.3798261274792466,0.10026840435044898,467828.38154349645
SH에너지화학,250.47271619438072,29,0.49564045868796686,0.42595587316066663,276639.3461838811
디알텍,397.31130356687765,12,0.2943229562356014,0.3827166911673953,639886.5940208692
한일단조,282.51543942080025,51,0.37577509492123484,0.22407203808521214,816978.9963638519
상보,111.44405743969408,19,0.18627993940395426,0.4474330107715826,269954.2467730197
CONY,467.9506910700964,31,0.4303200343573778,0.01893407003031855,629668.1531980617
SCHD,272.3001367863051,26,0.2101629145788667,0.3929500481848623,626325.2723242765
CURE,181.3980402161245,6,0.46756151107355615,0.017601248897822552,919626.9539015741
압타머사이언스,322.2656292595144,29,0.3717523136339248,0.4324980690798343,761690.7214755567
CONY,187.56246503652665,17,0.35372160044109624,0.08838946726471558,813194.9617505207
압타머사이언스,182.40879987264313,20,0.14506747380328072,0.019141073917204043,575228.9999095149
SCHD,318.2925309562531,42,0.39806856767316345,0.154393113829014,730419.2483019478
삼성전자,256.4169168757876,47,0.05264060454315339,0.0893691439828988,252364.08245715863
NVDA,329.1973113012889,74,0.26901212005471065,0.32591306484592736,583869.3793733309
CURE,498.7301747244961,70,0.36768864878717966,0.23618116191052418,665678.1471286474
삼성전자,443.60726174830734,96,0.44179599322600216,0.06487133060498695,835463.7644897207
인스코비,103.06831971591551,2,0.2848268311610127,0.45806867568990445,174044.79293753207
CURE,120.2222838149559,74,0.12916148575738956,0.18389717318825005,333489.2898487646
삼성전자,344.03177605249783,37,0.42443071967684304,0.1414206558464552,793520.9034041495
드래곤플라이,350.5024324529192,91,0.38399025207351534,0.34902749359056506,439892.9599643705
아이비젼웍스,451.27633763039734,19,0.07678237867699467,0.19675032583392477,489598.477206729
인스코비,351.6228698087303,41,0.43619378060649605,0.07275215809483543,623093.1955448331
드래곤플라이,191.08581540629692,16,0.4799386179469517,0.2911880709455217,729937.5350250574
SH에너지화학,287.40649108146033,84,0.26886712955426406,0.015180859032206784,295402.65437479777
압타머사이언스,423.59416026847543,60,0.019182473182037918,0.31358793525697654,865280.5948560076
KIB플러그에너지,469.1299858393486,57,0.4578071621335632,0.4337770966574197,370535.8540708805
AAPL,194.76604758668367,64,0.06138292835165032,0.13100851249994522,268263.4018228372
압타머사이언스,315.84189400533035,5,0.3165608792378996,0.4261599930492948,702562.6271773943
삼보산업,163.5710200681611,18,0.20045361570091952,0.1225198111520639,366263.8799311705
삼보산업,298.7998795710277,72,0.49601682563337435,0.10123057620968479,511288.9320600634
드래곤플라이,136.04564829980043,13,0.4585823353230087,0.35769236350423067,336996.7438888674
셀루메드,476.6912279801897,74,0.3922518958600029,0.03275458670573811,854945.5006401045
한일단조,355.2225833130462,36,0.09963854891635843,0.020317491825574074,504663.2716700372
아이비젼웍스,441.68669668547085,19,0.3495964939142349,0.22799174523581128,74762.11727597738
인스코비,499.31806967276253,31,0.28607290437534894,0.017046605159904082,66141.10022076019
아이비젼웍스,173.0663978821513,93,0.06767338137239448,0.24833944531043034,371182.5062458219
인스코비,377.65736598385945,23,0.39734055181824657,0.32471403245129415,413524.3132253735
압타머사이언스,454.7945174027432,32,0.04322816894397086,0.11410547858819975,47009.596282071725
SH에너지화학,330.37526696471605,11,0.24080483705971012,0.44943653846549814,853915.7118864789
디알텍,355.8785513466244,66,0.21328172010072416,0.10013931186499725,511519.17913121794
드래곤플라이,263.06843580685495,96,0.40309870433241896,0.118748099541434,552374.6148167229
SCHD,369.9043334866056,5,0.21378370890307297,0.45653031975628944,655285.8017519781
셀루메드,258.23116587844953,95,0.34715544001679804,0.3437709331486357,225406.71012086127
삼보산업,290.6478552605794,13,0.23913036397654797,0.2643181550940629,527699.8046700123
SH에너지화학,141.16469704912996,86,0.29101039242825616,0.1650769460078776,230631.05555619622
압타머사이언스,103.12336007215266,64,0.12052049887784033,0.38453986155539627,421136.9250519065
삼보산업,122.06044965557874,35,0.10122663199495557,0.29416946687614853,630569.0831896621
드래곤플라이,177.0086563750407,83,0.3549566497531945,0.17096381805019867,243500.98057515937
삼보산업,282.64152783802615,29,0.0611651888004513,0.4129864923396982,884742.2510412394
셀루메드,108.39762834058155,23,0.08799199955197146,0.39729200750262333,300760.9160491278
CURE,162.374655661693,83,0.4704732000855517,0.47042904978754324,310709.11460810376
CONY,412.57784155377544,80,0.12666452374284082,0.49743796004064,921924.7857400224
삼보산업,404.8666233048188,95,0.16164787179101264,0.005765875073708848,395303.8706091788
드래곤플라이,415.8921166702,16,0.3165971571704255,0.16006048575199544,145175.7732402375
셀루메드,468.6163772787096,26,0.22017713698029862,0.09632353945479183,433284.9833018775
CONY,147.62840029380766,3,0.27950022442314093,0.10680317330253525,345656.96493742993
아이비젼웍스,165.2559504911532,23,0.07229629898026718,0.43240792225008634,500185.51406786486
인스코비,233.42144584052576,57,0.3362038381201411,0.4874649944164359,616544.6826308244
CURE,466.05647959236387,9,0.07829167605449688,0.4700340238133034,336375.11092913063
CURE,410.191097202378,51,0.37386276505642896,0.3482355117774124,714105.1947822301
한일단조,229.64850893292788,88,0.2618086437422059,0.277478657938694,309749.85262959154
삼성전자,135.05432711309396,33,0.4080965060892711,0.31900093309770916,840271.2890352142
아이비젼웍스,346.5520104595337,78,0.08634153244004933,0.4278393248462788,962478.4928237254
AAPL,202.72766632226092,92,0.18876994270597947,0.003517629819406287,23542.202777590646
상보,312.46102638742127,24,0.4234159958677352,0.21412769843869,125281.08140013332
셀루메드,476.7213438403908,50,0.3993561535542401,0.25328582998787125,514958.9875315663
아이비젼웍스,329.0468981257338,52,0.4828769872886316,0.4617306088178629,626781.4086358775
삼성전자,469.53377456934567,71,0.11098022793702239,0.08603799599792283,911476.3664348338
CURE,257.2155143979502,38,0.2695140162010657,0.37217804709648783,634192.1327334698
KIB플러그에너지,353.3405349155083,44,0.008942371043396402,0.4620070108544993,865653.1962621359
상보,457.55598957878567,89,0.4826172884818336,0.3820073363419473,527123.2999560699
삼성전자,335.1949246436553,56,0.08756357957301925,0.005144312148025798,692738.1285625249
아이비젼웍스,345.9594708108417,66,0.4523538032271495,0.3297228683436509,924278.2106682837
디알텍,386.52319283248977,45,0.339166572125094,0.10476564606363636,680696.7923508505
한일단조,452.8431028753012,52,0.46842424054627524,0.3025629353774365,487833.3732599606
삼성전자,135.2720244963412,1,0.1241145870317672,0.28558068840670264,596948.6897451155
소니드,234.74375287043478,87,0.1725821433637003,0.47852321880445625,435989.7996020158
SH에너지화학,259.0738904322415,82,0.08220088344128967,0.09514416191723224,158549.69119971406
SH에너지화학,463.8838661556711,64,0.21121679694938444,0.025254023386113655,772454.5621260802
KIB플러그에너지,482.40316980648055,8,0.4737497402505841,0.3056382915330783,420309.2766668487
아이비젼웍스,148.1521858660499,98,0.285581583330724,0.17196832757958547,103828.00255908123
드래곤플라이,147.6430719155123,43,0.20806314382223734,0.37510723209765856,706938.9525615034
드래곤플라이,473.944717700945,8,0.16243316566886462,0.4966074275058924,766406.6760474001
삼성전자,218.30876055303708,29,0.2923809010059057,0.20068251848898327,114222.99803396307
인스코비,196.7257676148611,13,0.3616086916051785,0.07592437326059864,461314.14032233844
삼보산업,114.24914630163947,1,0.20339423360162207,0.2770567762936402,486468.35817500507
아이비젼웍스,210.23837390825963,29,0.11544943228595878,0.17308828542035276,242164.9851435758
소니드,377.4105708903953,50,0.2925021330947192,0.3973400954912559,801179.8893469999
압타머사이언스,270.41446509582465,37,0.18278132013898396,0.26717077400447475,535445.3468207107
인스코비,306.74814066070405,1,0.49716221672516797,0.4540927194412007,576603.1513460582
셀루메드,466.91823864595415,69,0.22052231295691682,0.41908584197118337,364395.3087114956
드래곤플라이,145.8759130685266,48,0.2172444104075465,0.45705837842717434,253047.0609321398
한일단조,128.49628609703962,55,0.41973349424783646,0.1495271800514133,804150.6845853846
SH에너지화학,440.7722996495577,66,0.12550949171469966,0.451381951322759,537591.9951348358
CURE,409.94231897228264,63,0.032993527674838374,0.43321485719788144,248477.92665535441
인스코비,205.49367477801297,22,0.42690940713300196,0.3135049921557941,431841.6948312579
AAPL,229.69365054963316,94,0.29452017709070266,0.4552196523200077,560235.5804166129
AAPL,224.1111343102641,11,0.13007838554002238,0.027118544386950605,559605.6143357559
SH에너지화학,359.1235192087645,29,0.1713792782882032,0.39281479141055536,562155.8601106608
아이비젼웍스,124.48460279559174,3,0.21282519225077712,0.07275572060758134,177416.3502491415
디알텍,295.7606341054908,45,0.34019551208715154,0.17045341166754624,559314.589659244
삼보산업,153.54918764509807,77,0.2340910380270967,0.36479193087000433,352290.75574219023
AAPL,427.895416370499,3,0.1979097789034821,0.10484196375029259,571416.2783275226
셀루메드,252.2652017239861,74,0.39023325112754637,0.11560237552741787,669823.3912095854
AAPL,311.0288772877837,68,0.035924265750161,0.10602354235712164,238160.74933877774
AAPL,111.7270435115144,14,0.3262684453419494,0.22811921217245013,129410.14351955887
AAPL,123.30572541642093,87,0.22446166578638693,0.040492511138077725,608354.2887935978
디알텍,370.02193229338644,81,0.16742675384323907,0.44326096932036785,696084.4432711464
디알텍,406.7082180565328,65,0.4637878448444002,0.36486232779007255,867267.3633228565
셀루메드,384.01423384088054,57,0.3889646701982589,0.2567550916954062,253541.6216119966
드래곤플라이,394.8074545831441,15,0.10962937425686475,0.0421050133313815,132700.4048659472
